Off_Name,Add_1,Add_2,Add_3,County,Gender,Attendance Time,Irish Language,Fee,Ethos,Number of Females 2014,Number of Males 2014,xcoord,ycoord,Long,Lat,Roll_No
Nagle Community College,Mahon,Blackrock,Cork,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,49,130,172306,71028,172306,71028,71110H
Cork College Of Commerce,Morrison's Island,Cork,,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,1,653,167735,71539,167735,71539,71120K
St John's Central College,Sawmill Street,Cork,,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,553,597,167862.98,71305.81,167862.98,71305.81,71121M
Colaiste Stiof�n Naofa,Tramore Road,Cork,,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,340,565,166908,69523,166908,69523,71122O
Terence Mac Swiney Community College,Hollyhill,Knocknaheeny,Cork,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,131,137,165368,72498,165368,72498,71123Q
Col�iste Daibh�id,An t-Ard�n Theas,Corcaigh,,Cork,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,113,107,167841,71390,167841,71390,71124S
Crana College,Crana Road,Buncrana,Co. Donegal,Donegal,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,270,263,234638,432109,234638,432109,71140Q
Col�iste na Carraige,Carrick,Co. Donegal,,Donegal,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,111,127,159185,378760,159185,378760,71150T
Abbey Vocational School,The Glebe,Donegal Town,Co.Donegal,Donegal,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,388,372,192785,377831,192785,377831,71180F
Errigal College,Windyhall,Letterkenny,,Donegal,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,162,175,217111,412877,217111,412877,71200I
Mulroy College,Milford,Letterkenny,Co Donegal,Donegal,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,148,175,218929,427306,218929,427306,71220O
Deele College,Raphoe,Lifford,Co Donegal,Donegal,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,251,268,225513,402980,225513,402980,71230R
Finn Valley College,Main Street,Stranorlar,Lifford,Donegal,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,121,180,214527,394944,214527,394944,71240U
St. Catherine's Vocational School,Donegal Road,Killybegs,Co. Donegal,Donegal,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,168,159,171808,376873,171808,376873,71241W
Gairm Scoil Ch� Uladh,B�al an �tha M�ir,An Clochan,Leifear,Donegal,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,128,118,197142,402008,197142,402008,71242B
Gairmscoil Mhic Diarmada,An Leadhbgarbh,�rainn Mh�r,Co Dh�n na nGall,Donegal,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,28,37,168486,415414,168486,415414,71244F
Colaiste Cholmcille,Indreabh�n,Co na Gaillimhe,,Galway,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,137,142,107226,222437,107226,222437,71250A
Gairmscoil Mhuire,Athenry,Co Galway,,Galway,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,232,315,150345,228131,150345,228131,71270G
St Brigids Vocational School,Loughrea,Co Galway,,Galway,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,275,348,162666,216257,162666,216257,71280J
Col�iste an Chreag�in,Mountbellew,Ballinasloe,Co Galway,Galway,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,37,36,167899,245741,167899,245741,71290M
Gairmscoil �inne Oileain Arann,Cill R�nain,Inis M�r,�rainn,Galway,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,33,33,88160,209618,88160,209618,71300M
Gairm Scoil Chille�in Naofa,St. Killians Vocational School,Cnoc Breac,"New Inn, Ballinasloe",Galway,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,64,69,167493,227873,167493,227873,71310P
Col�iste Naomh Feich�n,Corr na Mona,Co na Gaillimhe,,Galway,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,57,49,103774,252493,103774,252493,71320S
Col�iste na Coiribe,Bothar Thuama,Gaillimh,,Galway,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,196,213,130828,226299,130828,226299,71330V
Galway Technical Institute,Father Griffin Road,Galway,,Galway,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,648,527,129343.36,224606.96,129343.36,224606.96,71340B
Col�iste Ghobnait,Inis O�rr,Oile�in Arann,Cuan na Gaillimhe,Galway,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,17,11,97961,202461,97961,202461,71370K
Gairmscoil na bPiarsach,Ros Muc,Co na Gaillimhe,,Galway,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,54,44,92870,238618,92870,238618,71380N
Archbishop McHale College,Dublin Road,Tuam,Co Galway,Galway,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,66,137,143966,251475,143966,251475,71390Q
Galway Community College,Wellpark,Galway,,Galway,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,241,392,131123,226354,131123,226354,71400Q
Athlone Community College,Retreat Road,Athlone,Co Westmeath,Westmeath,Mixed,Day,Some pupils taught some subjects through Irish,N,INTER DENOMINATIONAL,389,531,205401,241559,205401,241559,71410T
Castlepollard Community College,Castlepollard,Mullingar,Co Westmeath,Westmeath,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,118,90,245974,269633,245974,269633,71420W
Columba College,Killucan,Co Westmeath,,Westmeath,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,92,102,257105,252159,257105,252159,71430C
Mullingar Community College,Millmount Road,Mullingar,Co. Westmeath,Westmeath,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,207,237,244187,252875,244187,252875,71450I
Clonaslee Vocational School,Clonaslee,Co. Laois,,Laois,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,124,137,232608,210613,232608,210613,71470O
Portlaoise College,Mountrath Road,Portlaoise,Co. Laois,Laois,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,379,296,246118,198506,246118,198506,71510A
St Fergal's College,Rathdowney,Co Laois,,Laois,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,134,151,228539,178209,228539,178209,71520D
Carrigallen Vocational School,Carrigallen,Co Leitrim,,Leitrim,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,126,148,223156,303432,223156,303432,71540J
Lough Allen College,Drumkeerin,Co Leitrim,,Leitrim,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,79,101,191095,324481,191095,324481,71560P
Vocational School,Drumshanbo,Co Leitrim,,Leitrim,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,188,196,197009,311032,197009,311032,71570S
Col�iste Abbain,Adamstown,Enniscorthy,Co Wexford,Wexford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,82,69,287285,127555,287285,127555,71600B
Bridgetown Vocational College,Bridgetown,Co Wexford,,Wexford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,289,328,299141,109470,299141,109470,71610E
Vocational College Bunclody,Bunclody,Enniscorthy,Co Wexford,Wexford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,109,121,291302,156578,291302,156578,71620H
Vocational College,Enniscorthy,Co Wexford,,Wexford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,387,391,296108,140702,296108,140702,71630K
Col�iste an �tha,Kilmuckridge,Co. Wexford,,Wexford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,134,179,316428,141366,316428,141366,71650Q
New Ross Vocational College,New Ross,Co Wexford,,Wexford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,109,127,272700,127093,272700,127093,71660T
Wexford Vocational College,Westgate,Wexford,Co Wexford,Wexford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,257,203,304510,122136,304510,122136,71680C
Ballymahon Vocational School,Ballymahon,Co Longford,,Longford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,145,210,215166,257615,215166,257615,71690F
Colaiste Mhuire,Askeaton,Co Limerick,,Limerick,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,237,216,134353,150229,134353,150229,71700F
Ardscoil Phadraig,Granard,Co Longford,,Longford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,119,120,232699,280896,232699,280896,71710I
Lanesboro Community College,Lanesboro,Co Longford,,Longford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,74,120,201154,268810,201154,268810,71720L
Templemichael College,Templemichael,Longford,,Longford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,209,159,214156,275792,214156,275792,71730O
Bush Post Primary School,Riverstown,Dundalk,Co Louth,Louth,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,272,297,318809,306998,318809,306998,71750U
Drogheda Inst. of Further Education,The Twenties,Drogheda,Co. Louth,Louth,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,474,316,308372.45,276796.78,308372.45,276796.78,71760A
St Oliver's Community College,Rathmullen Road,Drogheda,Co. Louth,Louth,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,588,668,307090,274988,307090,274988,71761C
� Fiaich College,Dublin Road,Dundalk,Co. Louth,Louth,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,419,439,305505,305301,305505,305301,71770D
Scoil Ui Mhuiri,Barn Road,Dunleer,Co. Louth,Louth,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,254,382,306527,287528,306527,287528,71780G
Desmond College,Station Road,Newcastle West,Co. Limerick,Limerick,Mixed,Day,Some pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,231,298,128528,134279,128528,134279,71790J
Colaiste Chiarain,Croom,Co. Limerick,,Limerick,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,466,405,151556,141233,151556,141233,71840V
Hazelwood College,Dromcollogher,Co. Limerick,,Limerick,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,283,313,138481,121636,138481,121636,71850B
St Nessan's Community College,Moylish Park,Moylish,Limerick,Limerick,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,149,196,156149,158732,156149,158732,71920T
Limerick College of Further Education,Limerick Senior College,Mulgrave Street,Limerick,Limerick,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,739,470,158356.02,156647.44,158356.02,156647.44,71930W
St Peter's College,Dunboyne,Co. Meath,,Meath,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,769,718,301847,241992,301847,241992,71950F
Community College Dunshaughlin,Dunshaughlin,Co Meath,,Meath,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,396,577,296304,252512,296304,252512,71960I
St. Fintinas Post Primary School,Longwood,Enfield,Co Meath,Meath,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,113,130,271645,245506,271645,245506,71970L
O'Carolan College,Nobber,Co Meath,,Meath,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,234,348,282911,286029,282911,286029,71980O
St Oliver Post Primary,Oldcastle,Co. Meath,,Meath,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,255,286,255219,280624,255219,280624,71990R
Col�iste Pobail Rath Cairn,R�th Cairn,Athboy,Co Meath,Meath,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,72,73,275435,263944,275435,263944,71991T
Beaufort College,Trim Rd,Navan,Co Meath,Meath,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,160,384,287119,266797,287119,266797,72010I
Moyne College,Ballina,Co Mayo,,Mayo,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,84,102,124982,318816,124982,318816,72020L
St. Brendan's College,Belmullet,Co. Mayo,,Mayo,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,173,180,70947,331355,70947,331355,72050U
St. Tiernan's College,Crossmolina,Ballina,Co Mayo,Mayo,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,80,110,113991,317208,113991,317208,72100J
St. Patrick's College,Lacken Cross,Killala,Co Mayo,Mayo,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,109,111,116056,331929,116056,331929,72130S
Colaiste Chomain,Rossport,Ballina,Co Mayo,Mayo,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,23,49,82652,338973,82652,338973,72140V
Carrowbeg College,Westport,Co Mayo,,Mayo,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,137,135,99686,284715,99686,284715,72160E
Ballybay Community College,Ballybay,Co Monaghan,,Monaghan,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,138,144,271866,319980,271866,319980,72170H
Largy College,Analore Rd,Clones,Co Monaghan,Monaghan,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,205,230,250631,325897,250631,325897,72171J
Inver College,Carrickmacross,Co Monaghan,,Monaghan,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,162,214,284275,304564,284275,304564,72180K
Castleblayney College,Dublin Road,Castleblayney,Co Monaghan,Monaghan,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,136,168,282937,319122,282937,319122,72190N
Beech Hill College,Monaghan,Co. Monaghan,,Monaghan,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,592,413,267632,333343,267632,333343,72210Q
Col�iste Chathail Naofa,Youghal Rd,Dungarvan,,Waterford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,218,155,225557,92822,225557,92822,72220T
St Declan's Community College,Kilmacthomas,Co Waterford,,Waterford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,304,356,239603,105990,239603,105990,72230W
Waterford College of Further Education,Parnell Street,Waterford,,Waterford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,540,307,260876.24,112158.1,260876.25,112158.11,72240C
St Paul's Community College,Browne's Road,Waterford City,,Waterford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,109,343,258941,111418,258941,111418,72241E
Elphin Community College,Elphin,Castlerea,Co Roscommon,Roscommon,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,38,76,186697,288388,186697,288388,72280O
Roscommon Community School,Lisnamult,Roscommon,Co. Roscommon,Roscommon,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,79,146,186824,263936,186824,263936,72290R
Corran College,Ballymote,Co Sligo,,Sligo,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,57,67,166332,315903,166332,315903,72300R
Coola Post Primary School,Riverstown,Via Boyle,Co Sligo,Sligo,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,191,233,175623,322873,175623,322873,72310U
Col�iste Iascaigh,Easkey,Co Sligo,,Sligo,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,64,81,137775,337870,137775,337870,72320A
Grange Vocational School,Grange,Co Sligo,,Sligo,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,56,105,166107,349347,166107,349347,72330D
North Connaught College,Tubbercurry,Co Sligo,,Sligo,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,108,42,152444.54,312209.35,152444.54,312209.35,72350J
Ballinode College,Clarion Rd,Sligo,,Sligo,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,401,317,170134,336791,170134,336791,72360M
Borrisokane Community College,Borrisokane,Co Tipperary,,Tipperary,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,259,279,192116,194515,192116,194515,72370P
Comeragh College,Greenside,Carrick-On-Suir,,Tipperary,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,112,177,240224,122107,240224,122107,72400V
Central Technical Institute,Clonmel,Co Tipperary,,Tipperary,Mixed,Day,Some pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,207,278,220801,122467,220801,122467,72420E
Scoil Ruain,Killenaule,Thurles,Co Tipperary,Tipperary,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,197,230,221947,146746,221947,146746,72430H
Nenagh Vocational School,Dromin Road,Nenagh,Co Tipperary,Tipperary,Mixed,Day,Some pupils taught some subjects through Irish,N,INTER DENOMINATIONAL,192,208,186454,179894,186454,179894,72440K
Newport College,Newport,Co Tipperary,,Tipperary,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,83,66,172575,162675,172575,162675,72450N
Templemore College,Templemore,Co Tipperary,,Tipperary,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,190,103,210720.78,171433.04,210720.78,171433.04,72470T
St. Alibe's School,Rosanna Road,Tipperary Town,,Tipperary,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,120,158,189440,136281,189440,136281,72480W
Col�iste Mhuire Co-Ed,Castlemeadows,Thurles,Co Tipperary,Tipperary,Mixed,Day,Some pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,158,182,211817,159190,211817,159190,72490C
Col�iste Naomh Cormac,Kilcormac,Co Offaly,,Offaly,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,97,109,218756,214329,218756,214329,72520I
Ard Scoil Chiarain Naofa,Frederick St.,Clara,Co. Offaly,Offaly,Mixed,Day,Some pupils taught some subjects through Irish,N,INTER DENOMINATIONAL,116,105,225865,232309,225865,232309,72530L
Oaklands Community College,Sr. Senan Avenue,Edenderry,Co. Offaly,Offaly,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,237,306,262488,232259,262488,232259,72540O
Tullamore College,Riverside,Tullamore,Co. Offaly,Offaly,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,241,327,234380,225129,234380,225129,72560U
Davitt College,Springfield,Castlebar,,Mayo,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,543,441,115145,290494,115145,290494,76060U
Colaiste na Trocaire (Mercy Community College),Rathkeale,Co. Limerick,,Limerick,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,237,214,136617,141319,136617,141319,76061W
Castleknock Community College,Carpenterstown Road,Castleknock,Dublin 15,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,552,584,307138,236937,307138,236937,76062B
Colaiste Dun Iascaigh,Cashel Road,Cahir,Co Tipperary,Tipperary,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,290,349,205654,125487,205654,125487,76063D
Glanmire Community College,Glanmire,Co. Cork,,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,370,530,173610,75424,173610,75424,76064F
Col�iste Cois Life,Gleann an Ghr�f�n,Leamhc�n,Co �tha Cliath,Dublin,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,240,277,304225,234388,304225,234388,76065H
Me�nscoil San Niocl�s,Rinn O gCuanach,Co. Phort L�irge,,Waterford,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,71,57,228148,88740,228148,88740,76066J
Colaiste Pobail Naomh Mhuire,Cill na Mullach,Co Chorca�,,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,103,121,154277,108914,154277,108914,76067L
Col�iste na Sceilge,Caherciveen,Co. Kerry,,Kerry,Mixed,Day,Some pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,267,248,45943,78767,45943,78767,76068N
Colaiste Phob�il Ros Cr�,Corville Rd,Roscrea,Co Tipperary,Tipperary,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,355,347,214164,189224,214164,189224,76069P
Col�iste I�asef,Kilmallock,Co. Limerick,,Limerick,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,288,280,160728,128166,160728,128166,76070A
Abbey Community College,Boyle,Co Roscommon,,Roscommon,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,193,217,180416,302223,180416,302223,76072E
Castletroy College,Newtown,Castletroy,Co Limerick,Limerick,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,555,618,163452,156977,163452,156977,76073G
St John Bosco Community College,Cahercon,Kildysart,Co Clare,Clare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,89,92,125331,158516,125331,158516,76075K
Colaiste Chraobh Abhann,Creowen,Kilcoole,Co Wicklow,Wicklow,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,290,330,329632,207279,329632,207279,76076M
Larkin Community College,Champions Avenue,Dublin 1,,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,151,290,316061,234949,316061,234949,76077O
Skerries Community College,Skerries,Co. Dublin,,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,388,525,324841,260442,324841,260442,76078Q
Col�iste Phobail Cholmcille,Baile �r,Oile�n Thora�,Doir� Beaga,Donegal,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,3,2,185983,446442,185983,446442,76079S
Col�iste Ailigh,Cnoc na M�na,Leitir Ceanainn,Co.Dh�n na nGall,Donegal,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,115,117,217085,411925,217085,411925,76081F
Abbey Community College,Abbey Rd,Ferrybank,Waterford,Kilkenny,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,341,380,261581,112852,261581,112852,76082H
Magh Ene College,Church Road,Bundoran,Co Donegal,Donegal,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,137,190,181940,358556,181940,358556,76083J
Moville Community College,Carrownaff,Moville,Co Donegal,Donegal,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,265,280,260504,438182,260504,438182,76084L
Gealchol�iste Reachrann,B�thar Mhainistir na Gr�ins�,Domhnach M�de,Baile Atha Cliath 13,Dublin,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,181,156,322655,240460,322655,240460,76085N
MARIA IMMACULATA COMMUNITY COLLEGE,Dunmanway,Co Cork,,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,226,277,122963,51883,122963,51883,76086P
CAVAN INSTITUTE,CATHEDRAL ROAD,CAVAN,,Cavan,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,744,580,242182.11,305887.3,242182.11,305887.29,76087R
Ratoath College,Jamestown,Ratoath,Co. Meath,Meath,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,466,525,302358,251042,302358,251042,76088T
MOHILL COMMUNITY COLLEGE,MOHILL,CO LEITRIM,,Leitrim,Mixed,Day,No subjects taught through Irish,N,MULTI DENOMINATIONAL,204,167,208479,296976,208479,296976,76089V
Col�iste Pobail Bheanntra�,SESKIN,BANTRY,CO CORK,Cork,Mixed,Day,Some pupils taught some subjects through Irish,N,INTER DENOMINATIONAL,333,340,99988.95,47741.31,99988.95,47741.31,76090G
Col�iste Oiriall,Tir Chian�in,Muineach�n,Co Mhuineach�in,Monaghan,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,173,101,267611,333249,267611,333249,76091I
PRESENTATION COLLEGE,TERENURE,DUBLIN 6W,,Dublin,Girls,Day,No subjects taught through Irish,N,Catholic,308,0,314237,230307,314237,230307,76092K
COL�ISTE �DE AGUS IOSAEF,ABBEYFEALE,CO LIMERICK,,Limerick,Mixed,Day,No subjects taught through Irish,N,MULTI DENOMINATIONAL,344,332,111791.1,126820.71,111791.1,126820.71,76093M
COL�ISTE DH�LAIGH COLLEGE OF FURTHER EDUCATION,BARRYCOURT ROAD,COOLOCK,DUBLIN 17,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,592,762,322546.39,239004.71,322546.39,239004.71,76094O
Merlin College,Doughiska Road,Galway,,Galway,Mixed,Day,No subjects taught through Irish,N,MULTI DENOMINATIONAL,31,38,134382.57,226216.82,134382.57,226216.81,76096S
ADAMSTOWN COMMUNITY COLLEGE,Station Rd,Adamstown,Co Dublin,Dublin,Mixed,Day,No subjects taught through Irish,N,MULTI DENOMINATIONAL,343,379,302483,232853,302483,232853,76097U
Colaiste Pobail Setanta,Phibblestown Community College,Phibblestown,Dublin 15,Dublin,Mixed,Day,No subjects taught through Irish,N,MULTI DENOMINATIONAL,376,395,304089,239756,304089,239756,76098W
Col�iste Chill Mhant�in,Burkeen,Wicklow Town,Co Wicklow,Wicklow,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,205,590,329721.14,194556.32,329721.14,194556.32,76099B
GAELCHOL�ISTE LUIMNIGH,MEAL SIOR ANRA�,LUIMNEACH,,Limerick,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,305,204,158109,157414,158109,157414,76101I
Col�iste an Eachr�idh,An Coil�ar B�n,Baile �tha an R�,Co na Gaillimhe,Galway,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,72,67,150128,228221,150128,228221,76102K
Colaiste na hInse,Bettystown,Co Meath,,Meath,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,305,454,316039,273459,316039,273459,76103M
Donabate Community College,"Olive Laffoy, Principal",Donabate Community College,Portrane Road,Dublin,Mixed,Day,No subjects taught through Irish,N,MULTI DENOMINATIONAL,322,410,323289,250450,323289,250450,76104O
Colaiste Na Sionna,Banagher,Banagher,,Offaly,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,229,300,201206,215138,201206,215138,76105Q
Gaelchol�iste na Mara,Pairc Na bPiarsach,Bothar an Ghleanntain,Arklow,Wicklow,Mixed,Day,All pupils taught all subjects through Irish,N,MULTI DENOMINATIONAL,66,110,323601,173728,323601,173728,76106S
Gaelchol�iste Chine�l Eoghain,Muileann Thulaigh Gharbh�in,Bun Cranncha,Co. Dh�n na nGall,Donegal,Mixed,Day,All pupils taught all subjects through Irish,N,MULTI DENOMINATIONAL,13,27,234951,433120,234951,433120,76107U
Creagh College,Carnew Road,Gorey,Co. Wexford,Wexford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,114,144,314199.06,159897.74,314199.06,159897.75,76127D
Ardgillan Community College,Castlelands,Balbriggan,,Dublin,Mixed,Day,No subjects taught through Irish,N,MULTI DENOMINATIONAL,153,392,320632,262796,320632,262796,76129H
Luttrellstown Community College,Luttrellstown Community College,Mill Road,Blanchardstown,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,182,244,308314,238917,308314,238917,76130P
Col�iste Pobail Acla,Achill Sound,Westport,Co. Mayo,Mayo,Mixed,Day,No subjects taught through Irish,N,MULTI DENOMINATIONAL,97,127,74377.92,299789.06,74377.92,299789.06,76150V
"Colaiste na M�, Navan, Co. Meath",Navan,Navan,,Meath,Mixed,Day,No subjects taught through Irish,N,MULTI DENOMINATIONAL,18,69,288820.37,266291.77,288820.37,266291.76,76173K
